----------------------------107470617479581108201995
Content-Disposition: form-data; name="file"; filename="lessons.csv"
Content-Type: text/csv

name,course,type,date
Chemistry,Medicine,lecture,01/12/2022
Math,Programming,workshop,02/12/2022
Geography,Cartography,lecture,03/12/2022
Astronomy,Cartography,lecture,04/12/2022
Information Technology,Programming,workshop,05/12/2022
Biology,Medicine,workshop,06/12/2022
Math,Programming,workshop,07/12/2022
Geography,Cartography,lecture,08/12/2022
Astronomy,Cartography,workshop,09/12/2022
Information Technology,Programming,lecture,10/12/2022
----------------------------107470617479581108201995--
